term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model
countryVietnam,-0.3536387323037273,0.15504032973868684,-2.2809467246346076,0.05909894000028333,-0.7254430531614646,0.01816558855401007,6.54806977933883,Anxiety,M4
age,-0.00654319181778156,0.004104504517466142,-1.5941490111505363,0.1453324947525369,-0.01582678204207219,0.002740398406509071,9.009193157918512,Anxiety,M4
female,0.1141589126801108,0.08056811306568311,1.4169242438015497,0.1902547325380851,-0.06816476522842926,0.2964825905886509,8.978695318940128,Anxiety,M4
ethnicity_minority,-0.019444980619740745,0.12716932729012634,-0.15290621594135373,0.8832071545814416,-0.32636979934754556,0.28747983810806405,6.362490733215069,Anxiety,M4
education,0.035939647953779394,0.03408233105735553,1.054495007788589,0.3193728172972677,-0.041262272630627234,0.11314156853818602,8.92240432280322,Anxiety,M4
employmentPart-time/casual,0.0766535925144635,0.07980950972595739,0.9604568776035539,0.3605398672586978,-0.10234760526822555,0.25565479029715255,9.53798819542561,Anxiety,M4
employmentStudent,-0.07139444700333336,0.14684049202880245,-0.4862040845608818,0.6474332579744748,-0.4491539828844892,0.3063650888778225,4.987092461202259,Anxiety,M4
employmentNot working,-0.020632376502546367,0.09097559491865784,-0.2267902344688592,0.8256730544521119,-0.2265519711123934,0.18528721810730064,8.96614907356373,Anxiety,M4
comorbidity,0.3014760753214271,0.06150958137924613,4.901286410366431,8.711410495762623e-4,0.1621186876654452,0.440833462977409,8.910620197832763,Anxiety,M4
gen_health,-0.05995741517769509,0.06423792775904873,-0.9333647156644047,0.37777904164641185,-0.20793175567620178,0.0880169253208116,8.049555262722963,Anxiety,M4
perceived_risk,0.026932825518854668,0.006108983732993626,4.408724379702448,0.0028559289231382796,0.012593168164820421,0.04127248287288891,7.264117539966193,Anxiety,M4
risk_self,0.06411126839701352,0.08066079569225076,0.7948256379917265,0.4465793198985496,-0.11753922690035944,0.24576176369438646,9.273452611146077,Anxiety,M4
health_trust,0.011430283201267166,0.039451432290091105,0.28973049995292754,0.7791195872802408,-0.07895548673161427,0.10181605313414861,8.311122188693982,Anxiety,M4
worry_health_fear,-0.008372836432061971,0.035882017340392654,-0.23334352560597552,0.8209676894431787,-0.09015726475645583,0.07341159189233187,8.577442270593567,Anxiety,M4
worry_economic,0.02460235151623026,0.03114659756744339,0.7898888943794736,0.4560202304140848,-0.049351629645267514,0.09855633267772804,6.86081133501222,Anxiety,M4
worry_basic_needs,0.040176093925704426,0.04963621141813099,0.8094109678771536,0.4393786066529737,-0.0722992091041471,0.15265139695555596,8.901138038151755,Anxiety,M4
worry_social,0.021350813267990737,0.020699511693980644,1.0314645863940592,0.33002485651597896,-0.025689326567351026,0.0683909531033325,8.738362176662687,Anxiety,M4
worry_safety_stigma,0.08885341391957616,0.05207091039381927,1.7063925567570433,0.12927114026251693,-0.03287679279697463,0.21058362063612696,7.419701792214798,Anxiety,M4
livelihood_disruption,0.020379223042827174,0.015423560642992768,1.3213046918634748,0.22333801706745782,-0.015258093936560212,0.05601654002221456,7.910051298932973,Anxiety,M4
compliance,0.005429805017724388,0.003662699915837055,1.4824596998095838,0.18499913042268698,-0.0033679532762912875,0.014227563311740063,6.500181539550924,Anxiety,M4
prevention_evidence,6.144460383926923e-4,0.011987134061094272,0.05125879424231627,0.9601777116357613,-0.02627417298417313,0.027503065060958516,9.530025893885155,Anxiety,M4
prevention_folk,0.0084849945973022,0.014338757525913834,0.5917524291743985,0.566715467783244,-0.02331742106731789,0.040287410261922285,10.3512104306768,Anxiety,M4
support_score,0.010685386535657532,0.01796045716178756,0.5949395630302564,0.5680459858457623,-0.03060608195304073,0.05197685502435579,8.14202919540667,Anxiety,M4
(Intercept),-0.0420416100027713,0.13199453252188562,-0.31851023826157726,0.780359472543897,-0.6115340050304693,0.5274507850249267,1.994273042474138,Stress,M0
countryNepal,0.1479218299321042,0.21397935692538742,0.6912901882571932,0.5155527910824971,-0.3773426007124848,0.6731862605766933,5.922019608460196,Stress,M0
countryVietnam,-0.06831224401710372,0.2150562930995435,-0.3176481982114511,0.7632807008129577,-0.6170137075413207,0.4803892195071133,5.127795101787488,Stress,M0
(Intercept),0.7775576844505566,0.38630080477916773,2.012829574339236,0.07527769323098575,-0.09755370475831382,1.652669073659427,8.917214147000005,Stress,M1
countryNepal,0.0819026150699009,0.17051666862231835,0.48032028617277917,0.6558214815128849,-0.38945131922761134,0.5532565493674132,4.045139347792056,Stress,M1
countryVietnam,-0.27051088740098433,0.1472606856521612,-1.836952518610077,0.12316888887325887,-0.644291856376159,0.10327008157419038,5.220783497612961,Stress,M1
age,-0.010974929279395688,0.00458414813339361,-2.394104413740014,0.037648588719911426,-0.021186368450849456,-7.634901079419214e-4,10.019394754491373,Stress,M1
female,0.22410502873645247,0.0918833410934437,2.4390169759776335,0.035588009103656414,0.01853464766000909,0.42967540981289587,9.706729932981926,Stress,M1
