effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,country,outcome
fixed,worry_basic_needs,0.034695059196104654,0.03346956978679981,1.0366150332110982,273.4849548678881,0.30083098867064195,-0.031195682120826802,0.10058580051303612,Nepal,Anxiety
fixed,worry_social,-0.018289254467614716,0.021374904046218335,-0.8556414769426984,282.3078723744139,0.39292173630810145,-0.06036367220720246,0.023785163271973025,Nepal,Anxiety
fixed,worry_safety_stigma,0.04806239709719031,0.04416850385377273,1.0881599534434983,288.5981814131517,0.27743238906120493,-0.038870845408990655,0.13499563960337127,Nepal,Anxiety
fixed,livelihood_disruption,0.0079192595187311,0.020750151279630476,0.3816482787046036,304.0117896447628,0.7029888788666532,-0.03291284326009079,0.04875136229755299,Nepal,Anxiety
fixed,(Intercept),-0.2804133097720621,0.4584609313241939,-0.6116405796283041,238.39850325543284,0.541358412822935,-1.1835651610702853,0.622738541526161,Nepal,Stress
fixed,age,-0.005451153560221698,0.004400706979881498,-1.2386995055890966,303.15032090372813,0.21641507417976913,-0.014110953583009258,0.0032086464625658622,Nepal,Stress
fixed,female,0.1144569063439452,0.10531180199707452,1.086838361640842,295.3375401414708,0.2779944702317124,-0.09279975820488512,0.3217135708927755,Nepal,Stress
fixed,ethnicity_minority,0.07997067928496913,0.11969122494931088,0.668141539355426,276.38726376785525,0.5046008150732793,-0.15565157464560497,0.3155929332155432,Nepal,Stress
fixed,education,-0.05874452033246143,0.03249590064637336,-1.8077517214165133,301.39115124772604,0.07164198867106046,-0.12269210555518376,0.0052030648902609,Nepal,Stress
fixed,employmentPart-time/casual,-0.13337838422452306,0.12126733605130513,-1.0998706541066758,304.1425773504406,0.27225827903979855,-0.37200757553209485,0.10525080708304871,Nepal,Stress
fixed,employmentStudent,0.4528752859325888,0.2697469989334184,1.6788890616884005,304.0501365430086,0.09420100704456251,-0.07793200720213539,0.9836825790673129,Nepal,Stress
fixed,employmentNot working,0.015178549599327868,0.13881933099528426,0.10934031658633687,304.8110847985796,0.9130045175742157,-0.257986966648944,0.2883440658475997,Nepal,Stress
fixed,comorbidity,0.206638450390773,0.06309253279428115,3.275164924263481,303.5568818274426,0.0011781930961404512,0.08248435730912697,0.33079254347241904,Nepal,Stress
fixed,gen_health,-0.0953824929000815,0.0707743785665586,-1.347698062942094,304.91200978349417,0.17875599969904987,-0.23465051855420221,0.043885532754039225,Nepal,Stress
fixed,perceived_risk,0.026488720107324216,0.009898295566341206,2.676089022578609,304.7581035078247,0.007851558273620057,0.007011066147404356,0.045966374067244076,Nepal,Stress
fixed,risk_self,0.2464573954289284,0.07985339252529992,3.0863735106914008,304.50545366233405,0.002212411121705164,0.08932308057053659,0.4035917102873202,Nepal,Stress
fixed,health_trust,-0.038225697773815924,0.030532518037542897,-1.2519667630037412,304.99582225539956,0.21154122952845983,-0.09830674596152425,0.021855350413892395,Nepal,Stress
fixed,worry_health_fear,0.03858927806805382,0.022457137608011445,1.7183524784693545,291.34962153483,0.08679469785535025,-0.005609505811475471,0.0827880619475831,Nepal,Stress
