effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,model,outcome
fixed,ethnicity_minority,0.1641324072423314,0.0773413480286031,2.122181878464679,882.1468051571973,0.03410057486864537,0.012337883250251841,0.31592693123441096,M1,Anxiety
fixed,education,0.022147589836656757,0.024041650570053096,0.9212175250664515,972.8757386031734,0.3571652472811835,-0.025031874603699,0.06932705427701251,M1,Anxiety
fixed,employmentPart-time/casual,0.03545466396239522,0.07475909692612737,0.4742521702399573,1039.7224963661972,0.6354196752795709,-0.11124124215122702,0.18215057007601745,M1,Anxiety
fixed,employmentStudent,0.31496690946229045,0.157697431917323,1.997286231188724,1044.93671737718,0.04605304930837112,0.005527201309623309,0.6244066176149576,M1,Anxiety
fixed,employmentNot working,-0.09147560826933089,0.08386290623179257,-1.0907755571515398,1043.7830321351792,0.27562338652654084,-0.2560347020650692,0.07308348552640738,M1,Anxiety
fixed,comorbidity,0.32914743307477723,0.04676894179742213,7.037735309480952,1044.9348199966107,3.5317276645911855e-12,0.23737569300951422,0.42091917314004024,M1,Anxiety
fixed,gen_health,-0.21804716810496788,0.04291430813671619,-5.0809899442002955,1044.5534531421117,4.4458743766174074e-7,-0.30225523968907625,-0.1338390965208595,M1,Anxiety
fixed,(Intercept),0.5528760933006733,0.3160985379044516,1.7490624821168692,150.71443988277062,0.0823159529039644,-0.0716806166701297,1.1774328032714765,M2,Anxiety
fixed,countryNepal,-0.12361813372422643,0.18905960237149144,-0.6538580012525562,10.17556472558469,0.5277027913787214,-0.5438860769798753,0.2966498095314225,M2,Anxiety
fixed,countryVietnam,-0.3472671554996095,0.2039242418460404,-1.7029223811546188,10.242558363990533,0.11868618941354743,-0.8001843720179723,0.1056500610187533,M2,Anxiety
fixed,age,-0.012704602312978428,0.0028045386652252625,-4.530015032600018,990.2840714438994,6.6163531531428086e-6,-0.01820812357125478,-0.007201081054702076,M2,Anxiety
fixed,female,0.06498944524811594,0.06530819058022094,0.9951193666633058,989.7380013913769,0.3199214346975324,-0.06316897963606478,0.19314787013229667,M2,Anxiety
fixed,ethnicity_minority,0.1761789723798195,0.07634811700373242,2.307574558403407,897.1147782440504,0.021249624208152185,0.026337254808687316,0.3260206899509517,M2,Anxiety
fixed,education,0.0036444104772029636,0.023892946681895504,0.15253080859902715,956.2833816003251,0.8788004687893215,-0.043244250027016914,0.050533070981422845,M2,Anxiety
fixed,employmentPart-time/casual,0.0876232919633066,0.07433135949728399,1.1788199833276058,997.5440404106561,0.23875096167298815,-0.05824047488066486,0.23348705880727805,M2,Anxiety
fixed,employmentStudent,0.2198902655015431,0.15571678370844624,1.4121166663270608,998.8968459045619,0.15822705758227718,-0.08567927364061897,0.5254598046437051,M2,Anxiety
fixed,employmentNot working,-0.007969115034553113,0.08346305228216717,-0.09548075246052083,999.760596931746,0.9239521117669428,-0.17175197185833527,0.15581374178922905,M2,Anxiety
