term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,sensitivity,effect
ethnicity_minority,0.13755993426841587,0.07541242583192705,1.8241017014224954,0.06850191559833947,-0.01046503373453811,0.28558490227136984,816.8517511362295,Depression,Multilevel (lme4),fixed
education,-0.016636876202808668,0.024794322323361616,-0.6709953991012342,0.5024060773182164,-0.06530227583610546,0.03202852343048812,848.4687056654957,Depression,Multilevel (lme4),fixed
employmentPart-time/casual,-0.020408428733479214,0.07576807479729097,-0.2693539302414597,0.7877211379677228,-0.16911780033176144,0.12830094286480304,870.8807127132782,Depression,Multilevel (lme4),fixed
employmentStudent,0.417353658812863,0.15620868806188912,2.671769822735529,0.007686461426876148,0.11076323003394645,0.7239440875917795,868.9803174780865,Depression,Multilevel (lme4),fixed
employmentNot working,0.03964819128273592,0.08405927350562868,0.4716694497732132,0.6372808949989686,-0.1253342550264311,0.20463063759190295,870.8510698211066,Depression,Multilevel (lme4),fixed
comorbidity,0.257194546775268,0.04736635786742274,5.429899159550099,7.320833939585978e-8,0.1642286763413819,0.35016041720915403,868.7792873562021,Depression,Multilevel (lme4),fixed
gen_health,-0.12872485551636575,0.04261791447095149,-3.020440045326597,0.0025981330832819944,-0.21237119971109175,-0.04507851132163976,867.0289018686329,Depression,Multilevel (lme4),fixed
perceived_risk,0.0203687688074996,0.005365729364900204,3.796085755040393,1.5718534470657986e-4,0.009837492546212823,0.03090004506878638,870.6569037304212,Depression,Multilevel (lme4),fixed
risk_self,0.03168218678399693,0.05140108024564926,0.6163720029342886,0.5378101034927834,-0.0692022867640544,0.13256666033204825,870.8811326330248,Depression,Multilevel (lme4),fixed
health_trust,-0.00879827121538995,0.019123470706712366,-0.4600771141559437,0.6455758029909906,-0.04633178994118178,0.028735247510401872,870.1897355463774,Depression,Multilevel (lme4),fixed
worry_health_fear,-0.04753526012055781,0.01702145406498066,-2.7926674148453143,0.005342481427397645,-0.08094327420424619,-0.014127246036869434,868.1274604997935,Depression,Multilevel (lme4),fixed
worry_economic,0.04205215233516252,0.012920460463175704,3.254694556359996,0.0011790085761127621,0.0166932015258322,0.06741110314449283,869.1497250388873,Depression,Multilevel (lme4),fixed
worry_basic_needs,0.06496795613081371,0.02649216420643301,2.4523461210857866,0.014391248721603902,0.01297083125627329,0.11696508100535413,856.9768602410427,Depression,Multilevel (lme4),fixed
worry_social,0.04191826727078853,0.01537154575214996,2.727004033730673,0.006520187654144139,0.011748513769487753,0.07208802077208931,867.8171064420695,Depression,Multilevel (lme4),fixed
worry_safety_stigma,0.14908724615370844,0.03586702989393185,4.156665511323304,3.5494240926112505e-5,0.07869098299791823,0.21948350930949867,867.8577893570308,Depression,Multilevel (lme4),fixed
livelihood_disruption,0.022117835707910503,0.012163582783043022,1.8183652055827237,0.06935347055713191,-0.0017556958409008505,0.04599136725672186,866.484517992096,Depression,Multilevel (lme4),fixed
(Intercept),0.3302928698107976,0.3032739065458512,1.089090959300389,0.2769695446467901,-0.26647006876847695,0.9270558083900722,306.4269722848106,Anxiety,Multilevel (lme4),fixed
countryNepal,-0.2926598660194882,0.13373589277369358,-2.188341962278773,0.0543736025550356,-0.5920173281588194,0.006697596119842997,9.672029162068362,Anxiety,Multilevel (lme4),fixed
countryVietnam,-0.3642898184257789,0.14095989712923768,-2.5843507681605598,0.030053273303331178,-0.6843648884283272,-0.04421474842323059,8.783588819498963,Anxiety,Multilevel (lme4),fixed
age,-0.009921288088561925,0.002819120471304594,-3.5192848938345254,4.575672343878555e-4,-0.015455174880739843,-0.0043874012963840085,786.8520673883866,Anxiety,Multilevel (lme4),fixed
female,0.022237892302393054,0.06624764219606513,0.33567824552273506,0.7372122708164026,-0.10782590692640519,0.1523016915311913,712.9319534598332,Anxiety,Multilevel (lme4),fixed
ethnicity_minority,0.10149769942858201,0.07437640728140986,1.3646491291863063,0.1730057003559778,-0.04464759417199447,0.2476429930291585,477.7809880539858,Anxiety,Multilevel (lme4),fixed
education,0.011382423897857184,0.02465500179610307,0.46166794032261116,0.64447995256473,-0.03703416229136414,0.05979901008707851,625.5936235401082,Anxiety,Multilevel (lme4),fixed
employmentPart-time/casual,-0.033159829377470744,0.0763933839796218,-0.43406676926782356,0.664349766047239,-0.18310095044062139,0.11678129168567988,852.6552438794454,Anxiety,Multilevel (lme4),fixed
employmentStudent,0.3693697630787527,0.15809245170799544,2.3364161861503474,0.019696355231907794,0.059081449848596035,0.6796580763089093,867.7253053166106,Anxiety,Multilevel (lme4),fixed
employmentNot working,-0.006758047281412822,0.08481594876944606,-0.07967896815943334,0.936511362375895,-0.17323155585141856,0.1597154612885929,849.0752956788186,Anxiety,Multilevel (lme4),fixed
comorbidity,0.25693435255073815,0.04794900026438565,5.358492380112821,1.0755973407812283e-7,0.16282492460891876,0.3510437804925576,868.7378556717423,Anxiety,Multilevel (lme4),fixed
gen_health,-0.16996961913711583,0.04321092343284478,-3.933487313717561,9.038086408558714e-5,-0.2547793262903831,-0.0851599119838486,870.9814926463919,Anxiety,Multilevel (lme4),fixed
perceived_risk,0.02348338357199231,0.00541762055361931,4.334630552208744,1.633675556733895e-5,0.012849995370714785,0.03411677177326984,855.3155363108477,Anxiety,Multilevel (lme4),fixed
risk_self,0.09646749885289038,0.05175019151581092,1.8640993593891773,0.06266340373304131,-0.0051103108841671074,0.19804530858994787,823.4733201576453,Anxiety,Multilevel (lme4),fixed
health_trust,0.01570874889078752,0.019332599389719464,0.8125523409511602,0.4166984672945865,-0.022235574203546243,0.05365307198512129,864.4843917145781,Anxiety,Multilevel (lme4),fixed
worry_health_fear,0.034937274550604504,0.017066462622690803,2.0471304055799746,0.04098645896632527,0.001434609646714484,0.06843993945449453,764.8966585158043,Anxiety,Multilevel (lme4),fixed
worry_economic,0.024308441756177954,0.013080721254432636,1.8583410871125017,0.06345824192819431,-0.0013650253715672897,0.0499819088839232,869.8076184460184,Anxiety,Multilevel (lme4),fixed
worry_basic_needs,0.03688911997783309,0.02648957873609068,1.3925899065949876,0.16414984383784106,-0.015112057755174685,0.08889029771084087,762.3619526765453,Anxiety,Multilevel (lme4),fixed
